Blank1,Description,Extended Description,Blank2,Item Number,Blank3,Standard Price,List Price,Major category,Minor Category,Weight,Available Quantity,Date Established,PO Date,AvG Lead Time,Image ,Drop Ship Status,Active,Product Length ,Product Width,Product Height,Shipping Length ,Shipping Width ,Shipping Height,Item Weight,Item Net Weight,UPC Code,HCPC Code,MAP Price,Country Of Origin,Product Group (item),Plus Freight,Images,Images,Images,Images,Images,Images,Images,Images,Images,Images
,Crutches  Steel  H/D Bariatric Tall Adult  (Pair),Tall adult * 5'10  to 6'6  * Supports individuals up to 500 Lbs. * Durable  steel construction * Push-buttons easily adjust height in 1  increments * Comfortable  contoured underarm design * Large  non-skid jumbo size rubber tips * Limited Lifetime Warranty * Sold as a pair * Shipping Carton Size: 48 L x 12 W x 5 H * HCPCS Suggested Code: E0116,,1453B,,120.98,219.97,Mobility Products,Bariatric Crutches,11.000,1,10/05/2004,12/31/2099,5,1453a.jpg,N,Y,48,11,4,0,0,0,11,0,822383108322,E0116,,,,Y,1453a.jpg,https://interlink.completemedical.com/usrimage/1453a.jpg,,,,,,,,
,Push Button Alum Adj Crutch-pr Youth Patient Height 4'6-5'2,Youth * 36  - 44  * Patient height 4'6-5'2  * Lighter than wood  the standard aluminum crutch provides stability and durability * 300 Lbs. weight capacity * Double extruded center tube provides additional strength to weight-bearing area * Push-pin adjustment makes it easy to adjust crutch height in 1  increments * Non-skid  jumbo size rubber tips provide excellent traction * Easy wing nut adjustments for hand grips * Comfortable  durable rubber underarm pad and hand grip * Limited Lifetime Warranty * Sold as a pair Shipping Carton Size: 34 L x 12 W x 10 H *,,1455A,,17.99,32.72,Mobility Products,Crutches - Aluminum,3.640,91,09/24/2002,12/31/2099,11,1455d.jpg,N,Y,39,12,11,0,0,0,3.64,0,822383101552,,,,,Y,1455d.jpg,https://interlink.completemedical.com/usrimage/1455d.jpg,,,,,,,,
,Push Button Alum Adj Crutch Adult-Ptnt Hgt 5'2 -5'10 -Cs/8,Adult * 44  - 52  * Patient height 5'2 -5'10  * Lighter than wood  the standard aluminum crutch provides stability and durability * 300 lbs weight capacity * Double extruded center tube provides additional strength to weight-bearing area * Push-pin adjustment makes it easy to adjust crutch height in 1  increments * Non-skid  jumbo size rubber tips provide excellent traction * Easy wing nut adjustments for hand grips * Comfortable  durable rubber underarm pad and hand grip * Limited lifetime warranty * Sold as a case of 8 pair * Shipping carton size: 34 L x 12 W x 10 H *,,1455B-8,,154.72,281.36,Mobility Products,Crutches - Aluminum,32.640,3,01/03/2025,12/31/2099,7,1455d.jpg,N,Y,47,13,12,0,0,0,32.64,32.64,822383101538,E0114,,,,Y,,https://interlink.completemedical.com/usrimage/1455d.jpg,,,,,,,,
,Push Button Alum Adj Crutch Tall-Ptnt Hgt 5'10 -6'6 -Cs/8,Tall Adult * 52 -60  * Patient height 5'10 -6'6  * Lighter than wood  the standard aluminum crutch provides stability and durability * 300 lbs weight capacity * Double extruded center tube provides additional strength to weight-bearing area * Push-pin adjustment makes it easy to adjust crutch height in 1  increments * Non-skid  jumbo size rubber tips provide excellent traction * Easy wing nut adjustments for hand grips * Comfortable  durable rubber underarm pad and hand grip * Limited lifetime warranty * Sold as a case of 8 pair * Shipping carton size: 34 L x 12 W x 10 H *,,1455C-8,,167.84,305.20,Mobility Products,Crutches - Aluminum,36.160,10,01/03/2025,12/31/2099,7,1455d.jpg,N,Y,54,12,12,0,0,0,36.16,36.16,822383101576,E0114,,,,Y,,https://interlink.completemedical.com/usrimage/1455d.jpg,,,,,,,,
,EZ Adjust  Alum Crutches Youth,Youth * Unique pull pin allows for easy hand grip adjustments without removing screws and wing-nuts * Lighter than wood  the aluminum crutch provides stability and durability * Push pin adjustment makes it easy to adjust crutch height in 1  increments *  No skid  jumbo size vinyl contoured tips provide excellent traction *  Comfortable  durable accessories are latex free * 300 lb. Weight Capacity * Limited Lifetime Warranty *,,1456A,,24.54,44.62,Mobility Products,Crutches - Aluminum,30.900,3,06/02/2009,12/31/2099,6,1456A.JPG,N,Y,38,11,13,0,0,0,30.9,0,822383138206,,,,,Y,1456A.JPG,https://interlink.completemedical.com/usrimage/1456A.JPG,,,,,,,,
,EZ Adjust  Alum Crutches Adult,Adult * Unique pull pin allows for easy hand grip adjustments without removing screws and wing-nuts * Lighter than wood  the aluminum crutch provides stability and durability * Push pin adjustment makes it easy to adjust crutch height in 1  increments *  No skid  jumbo size vinyl contoured tips provide excellent traction *  Comfortable  durable accessories are latex free * 300 lb. Weight Capacity * Limited Lifetime Warranty *,,1456B,,24.96,45.38,Mobility Products,Crutches - Aluminum,33.300,0,06/02/2009,12/31/2099,7,1456B-1.jpg,N,Y,47,13,14,0,0,0,33.3,0,822383138190,,,,,Y,1456B-1.JPG,https://interlink.completemedical.com/usrimage/1456B-1.jpg,,,,,,,,
,EZ Adjust  Alum Crutches Tall,Tall adult * Unique pull pin allows for easy hand grip adjustments without removing screws and wing-nuts * Lighter than wood  the aluminum crutch provides stability and durability * Push pin adjustment makes it easy to adjust crutch height in 1  increments *  No skid  jumbo size vinyl contoured tips provide excellent traction *  Comfortable  durable accessories are latex free * 300 lb. Weight Capacity * Limited Lifetime Warranty *,,1456C,,25.61,46.57,Mobility Products,Crutches - Aluminum,37.000,7,06/02/2009,12/31/2099,19,1456A.JPG,N,Y,54,13,14,0,0,0,37,0,822383138213,,,,,Y,1456A.JPG,https://interlink.completemedical.com/usrimage/1456A.JPG,,,,,,,,
,Plastic Hose Connector for BC4600,,,146-20,,5.17,9.39,Pressure Prevention,Low Air Loss Systems,0.000,0,03/14/2007,12/31/2099,5,,O,Y,0,0,0,0,0,0,0,0,,,N,,,N,,,,,,,,,,
,GelStep Medium Recovery Heel Cup Soft Center Spot No/Cvr Sm,UNCOVERED * Small  1 Pair * Dual durometer for maximum comfort while standing  walking or running * Medium-durometer silicone in main body efficiently absorbs impact and recovers quickly * Softer silicone blue zone under heel center maximizes shock absorption and comfort at point of impact * Retains shape - will not deform or degrade with use * Optional anti-microbial cover absorbs odor  prevents bacterial growth and allows foot and insert to slide easily into the shoe * Washable and reusable *,,1460A,,22.04,40.07,Foot Care,Heel Cups,0.000,0,05/29/2009,12/31/2099,8,1460a.jpg,N,Y,9,7,5,0,0,0,0,0,092437147380,,N,,,N,,https://interlink.completemedical.com/usrimage/1460a.jpg,,,,,,,,
,GelStep Medium Recovery Heel Cup Soft Center Spot No/Cvr Md,UNCOVERED * Medium  1 Pair * Dual durometer for maximum comfort while standing  walking or running * Medium-durometer silicone in main body efficiently absorbs impact and recovers quickly * Softer silicone blue zone under heel center maximizes shock absorption and comfort at point of impact * Retains shape - will not deform or degrade with use * Optional anti-microbial cover absorbs odor  prevents bacterial growth and allows foot and insert to slide easily into the shoe * Washable and reusable *,,1460B,,22.04,40.07,Foot Care,Heel Cups,0.000,0,05/29/2009,12/31/2099,9,1460a.jpg,N,Y,9,7,5,0,0,0,0,0,092437147427,,N,,,N,,https://interlink.completemedical.com/usrimage/1460a.jpg,,,,,,,,
,GelStep Medium Recovery Heel Cup Soft Center Spot No/Cvr Lg,UNCOVERED * Large  1 Pair * Dual durometer for maximum comfort while standing  walking or running * Medium-durometer silicone in main body efficiently absorbs impact and recovers quickly * Softer silicone blue zone under heel center maximizes shock absorption and comfort at point of impact * Retains shape - will not deform or degrade with use * Optional anti-microbial cover absorbs odor  prevents bacterial growth and allows foot and insert to slide easily into the shoe * Washable and reusable *,,1460C,,22.04,40.07,Foot Care,Heel Cups,0.000,1,05/29/2009,12/31/2099,7,1460a.jpg,N,Y,9,7,5,0,0,0,0,0,092437147465,,N,,,N,,https://interlink.completemedical.com/usrimage/1460a.jpg,,,,,,,,
,GelStepHeel Cups w/Soft Spur Spot-Uncvd SM W 4-7,Uncovered * Small (Fits Women 4-7) * 1 Pair * Dual durometer for medial-side or spur/fascia relief and maximum comfort while standing  walking or running * Medium-durometer silicone in main body efficiently absorbs impact and recovers quickly * Softer silicone  blue zone  area provides increased comfort and pain relief  * Retains shape - will not deform or degrade with use * Optional anti-microbial cover absorbs odor  prevents bacterial growth and allows foot and insert to slide easily into the shoe * Washable and reusable *,,1461A,,22.04,40.07,Foot Care,Heel Cups,0.000,34,05/29/2009,12/31/2099,22,1461a.jpg,N,Y,9,7,5,0,0,0,0,0,092437147564,,N,,,N,,https://interlink.completemedical.com/usrimage/1461a.jpg,,,,,,,,
,GelStepHeel Cups w/Soft Spur Spot-Uncvd MD W7.5-10 M6 -8.5,Uncovered * Medium (Fits Women 7.5 - 10 and Men 6 - 8.5) *  Dual durometer for medial-side or spur/fascia relief and maximum comfort while standing  walking  or running  *Medium-durometer silicone in main body efficiently absorbs impact and recovers quickly  *Softer silicone  blue zone  area provides increased comfort and pain relief  *Optional anti-microbial cover absorbs odor  prevents bacterial growth  and allows foot to slide easily into the shoe  *Retains shape -- will not deform or degrade with use *Washable and reusable  *1 pair/package  *Covered Medium,,1461B,,22.04,40.07,Foot Care,Heel Cups,0.000,0,05/29/2009,01/30/2025,9,1461a.jpg,N,Y,9,7,5,0,0,0,0,0,092437147601,,N,,,N,,https://interlink.completemedical.com/usrimage/1461a.jpg,,,,,,,,
,GelStepHeel Cups w/Soft Spur Spot-Uncvd LG W10.5-12 M9-11.5,Uncovered * Medium (Fits Women 10.5-12 and Men 9-11.5)) * Dual durometer for medial-side or spur/fascia relief and maximum comfort while standing  walking  or running  *Medium-durometer silicone in main body efficiently absorbs impact and recovers quickly  *Softer silicone  blue zone  area provides increased comfort and pain relief  *Optional anti-microbial cover absorbs odor  prevents bacterial growth  and allows foot to slide easily into the shoe  *Retains shape -- will not deform or degrade with use *Washable and reusable  *1 pair/package  *Covered Large,,1461C,,22.04,40.07,Foot Care,Heel Cups,0.000,0,05/29/2009,01/30/2025,6,1461a.jpg,N,Y,9,7,5,0,0,0,0,0,092437147649,,N,,,N,,https://interlink.completemedical.com/usrimage/1461a.jpg,,,,,,,,
,GelStepHeel Cups w/Soft Spur Spot-Uncvd XL  W12+ / M12-14,Uncovered * (Fits Women 12+ and Men 12 - 14.5) * 1 Pair * Dual durometer for medial-side or spur/fascia relief and maximum comfort while standing  walking or running * Medium-durometer silicone in main body efficiently absorbs impact and recovers quickly * Softer silicone  blue zone  area provides increased comfort and pain relief  * Retains shape - will not deform or degrade with use * Optional anti-microbial cover absorbs odor  prevents bacterial growth and allows foot and insert to slide easily into the shoe * Washable and reusable *,,1461G,,22.04,40.07,Foot Care,Heel Cups,0.000,1,05/21/2013,12/31/2099,8,1461G.jpg,N,Y,0,0,0,0,0,0,0,0,092437147588,,,,,N,,https://interlink.completemedical.com/usrimage/1461G.jpg,,,,,,,,
,GelStepHeel Cups w/Soft Spur Spot-Uncvd  XXL Mens size 15+,Uncovered * Size XXL * 1 Pair * Dual durometer for medial-side or spur/fascia relief and maximum comfort while standing  walking or running * Medium-durometer silicone in main body efficiently absorbs impact and recovers quickly * Softer silicone  blue zone  area provides increased comfort and pain relief  * Retains shape - will not deform or degrade with use * Optional anti-microbial cover absorbs odor  prevents bacterial growth and allows foot and insert to slide easily into the shoe * Washable and reusable *,,1461H,,23.13,42.08,Foot Care,Heel Cups,0.000,1,05/05/2023,12/31/2099,9,1461G.jpg,N,Y,0,0,0,0,0,0,0,0,092437147588,,,,,N,,https://interlink.completemedical.com/usrimage/1461G.jpg,,,,,,,,
,Adjust-A-Heel Lift  Small Womens size 4-7,Small * Women's 4-7 *  *Unique Lift elevates heel to balance differences in leg length that can cause hip  back and biomechanical problems *Also helps relieve heel spurs  AchillesÊ tendonitis and related conditions * Interchangeable for left or right foot * Peel off layers to adjust height 1/8   to 3/8  * Durable suede top cover HCPC CODE: L3332,,1464A,,9.37,17.06,Foot Care,Heel Cushions & Pads,0.000,25,11/21/2008,12/31/2099,7,1464a.jpg,N,Y,0,0,0,0,0,0,0,0,092437658213,1464A00065x & 1464A01411,,,,N,,https://interlink.completemedical.com/usrimage/1464a.jpg,,,,,,,,
,Adjust-A-Heel Lift  Medium Womens size 8-10 / Mens 6-8,Medium * Women's 8-10  Men's 6-8   * Unique Lift elevates heel to balance differences in leg length that can cause hip  back and biomechanical problems * Also helps relieve heel spurs  AchillesÊ tendonitis and related conditions * Interchangeable for left or right foot * Peel off layers to adjust height 1/8   to 3/8  * Durable suede top cover HCPC CODE: L3332,,1464B,,9.37,17.06,Foot Care,Heel Cushions & Pads,0.000,5,11/21/2008,12/31/2099,5,1464B.jpg,N,Y,0,0,0,0,0,0,0,0,092437658220,1464B00065x & 1464B01411,,,,N,,https://interlink.completemedical.com/usrimage/1464B.jpg,,,,,,,,
,Adjust-A-Heel Lift  Large Womens size 11+ / Mens 9+,Large * Women's 11+  Men's 9+   * Unique Lift elevates heel to balance differences in leg length that can cause hip  back and biomechanical problems * Also helps relieve heel spurs  AchillesÊ tendonitis and related conditions * Interchangeable for left or right foot * Peel off layers to adjust height 1/8   to 3/8  * Durable suede top cover HCPC CODE: L3332,,1464C,,9.37,17.06,Foot Care,Heel Cushions & Pads,0.000,16,11/21/2008,12/31/2099,5,1464C.jpg,N,Y,0,0,0,0,0,0,0,0,092437658237,1464C00065x & 1464C01411,,,,N,,https://interlink.completemedical.com/usrimage/1464C.jpg,,,,,,,,
,GelStep Heel Pad with Soft Center Spot Small Uncovered,UNCOVERED * Small  1 Pair * Dual durometer for maximum comfort while standing  walking or running * Medium-durometer silicone in main body effectively absorbs impact and recovers quickly * Softer silicone blue dot under heel center maximizes shock absorption and comfort at point of impact  * Washable and reusable * Retains shape * will not deform or degrade with use * Optional anti-microbial cover absorbs  odor  prevents bacterial growth and allows the foot and insert to slide easily into the shoe *,,1466A,,18.36,33.35,Foot Care,Heel Cushions & Pads,0.400,2,05/27/2009,12/31/2099,11,1466A.JPG,N,Y,9,7,5,0,0,0,.4,.4,,,N,,,N,1466A.JPG,https://interlink.completemedical.com/usrimage/1466A.JPG,,,,,,,,
,GelStep Heel Pad with Soft Center Spot Medium Uncovered,UNCOVERED * Medium  1 Pair * Dual durometer for maximum comfort while standing  walking or running * Medium-durometer silicone in main body effectively absorbs impact and recovers quickly * Softer silicone blue dot under heel center maximizes shock absorption and comfort at point of impact  * Washable and reusable * Retains shape * will not deform or degrade with use * Optional anti-microbial cover absorbs  odor  prevents bacterial growth and allows the foot and insert to slide easily into the shoe *,,1466B,,18.36,33.35,Foot Care,Heel Cushions & Pads,0.000,3,05/27/2009,12/31/2099,9,1466A.JPG,N,Y,9,7,5,0,0,0,0,0,,,N,,,N,1466A.JPG,https://interlink.completemedical.com/usrimage/1466A.JPG,,,,,,,,
,GelStep Heel Pad with Soft Center Spot  Large Uncovered,UNCOVERED * Large  1 Pair * Dual durometer for maximum comfort while standing  walking or running * Medium-durometer silicone in main body effectively absorbs impact and recovers quickly * Softer silicone blue dot under heel center maximizes shock absorption and comfort at point of impact  * Washable and reusable * Retains shape * will not deform or degrade with use * Optional anti-microbial cover absorbs  odor  prevents bacterial growth and allows the foot and insert to slide easily into the shoe *,,1466C,,18.36,33.35,Foot Care,Heel Cushions & Pads,0.400,0,05/27/2009,12/31/2099,9,1466A.JPG,N,Y,9,7,5,0,0,0,.4,.4,,,N,,,N,1466A.JPG,https://interlink.completemedical.com/usrimage/1466A.JPG,,,,,,,,
,Tri-Fold Bedside Fall Mat 72 (L)x30 (W)x2 (H) Drive,Helps to reduce the possibility of injuries from bed falls * Conveniently folds in 3 sections for storage * Made of high density foam to absorb impact from bed falls * Non-skid bottom reduces the chance of the mat slipping * Comes with durable  vinyl cover that is easy to clean,,14700,,90.75,165.00,Beds & Accessories,Bed Rails & Fall Protectors,3.000,0,06/25/2015,12/31/2099,7,14700.jpg,S,Y,30,24,6,0,0,0,3,0,82238329166,n/a,,,,Y,,https://interlink.completemedical.com/usrimage/14700.jpg,,,,,,,,
,Jobst Intermittent Lower Extrem. Slv. Med Leg 30in,INTERMITTENT PHEUMATIC SLEEVES*  Medium Leg 30  + * For use with 147000 pump series *,,147036,,185.08,336.51,Edema Products,Lymphedema  Pumps & Garments,0.800,1,09/24/2002,12/31/2099,4,147036.jpg,S,Y,0,0,0,0,0,0,.8,0,,,N,,,Y,,https://interlink.completemedical.com/usrimage/147036.jpg,,,,,,,,
,Peg-Assist Insole  Square-Toe Medium    (Each),* Removable pegs allow for localized off-loading of wounds and ulcerations of the foot * Pressure reduced by as much as 60% while allowing patient to remain ambulatory * Poron© cover eliminates the incidence of ring edema and edge abrasion *Included stabilizer board prevents adjacent pegs from collapsing * For use with Darco Heel WedgeTM Healing Shoe  Ortho Wedge Healing Shoe  and  APBTM All Purpose Boot * HCPCS Suggested Code: A9283,,1471C,,14.28,25.96,Foot Care,Insoles/Orthotics,0.110,55,08/11/2011,12/31/2099,7,1471a.jpg,N,Y,10,4,1,0,0,0,.11,0,609271909298,1471C00014,,,,Y,,https://interlink.completemedical.com/usrimage/1471a.jpg,,,,,,,,
,Peg-Assist Insole  Square-Toe Large    (Each),* Removable pegs allow for localized off-loading of wounds and ulcerations of the foot * Pressure reduced by as much as 60% while allowing patient to remain ambulatory * Poron© cover eliminates the incidence of ring edema and edge abrasion *Included stabilizer board prevents adjacent pegs from collapsing * For use with Darco Heel WedgeTM Healing Shoe  Ortho Wedge Healing Shoe  and  APBTM All Purpose Boot * HCPCS Suggested Code: A9283,,1471D,,15.71,28.58,Foot Care,Insoles/Orthotics,0.120,0,08/11/2011,12/31/2099,10,1471a.jpg,N,Y,11,4,1,0,0,0,.12,0,609271909397,1471D00014,,,,Y,,https://interlink.completemedical.com/usrimage/1471a.jpg,,,,,,,,
,Peg-Assist Insole  Square-Toe Extra-Large    (Each),* Removable pegs allow for localized off-loading of wounds and ulcerations of the foot * Pressure reduced by as much as 60% while allowing patient to remain ambulatory * Poron© cover eliminates the incidence of ring edema and edge abrasion *Included stabilizer board prevents adjacent pegs from collapsing * For use with Darco Heel WedgeTM Healing Shoe  Ortho Wedge Healing Shoe  and  APBTM All Purpose Boot * HCPCS Suggested Code: A9283,,1471E,,15.71,28.58,Foot Care,Insoles/Orthotics,0.150,0,08/11/2011,12/31/2099,10,1471a.jpg,N,Y,12,5,1,0,0,0,.15,0,609271909496,1471E00014,,,,Y,,https://interlink.completemedical.com/usrimage/1471a.jpg,,,,,,,,
,WCS Wound Care Shoe System Medium Black,Medium fits Women's sizes 10 - 10.5 and Men's 9 - 9.5 * The DARCO WCS Wound Care Shoe System is the product of choice when dealing with Wagner Grade 3 or greater ulcerations * The four multi-density insoles can be modified  effectively removing pressure from the plantar aspect of the foot * Four Multi-density Insoles allow for the ultimate in customization and precisely targeted off-loading * Ultra-soft Plastazote¸ Lining provides a virtually friction-free contact surface that wonÊt exacerbate existing wounds * Genuine Leather Upper can be modified or cut away to provide even greater levels of pressure relief * Sold in pairs to eliminate discrepancies in shoe height and the potential associated knee and hip pain *HCPCS: L3260,,1478D,,111.49,202.70,Foot Care,Surgical Shoes,0.000,1,11/18/2011,12/31/2099,6,1478a.jpg,S,Y,0,0,0,0,0,0,0,0,,,N,,,Y,,https://interlink.completemedical.com/usrimage/1478a.jpg,,,,,,,,
,Health Design Classic Post Op Shoe  Men's XXL,Fits Men's sizes 14 - 16 *This popular post op shoe provides quality care at an outstanding value * The semi-rigid outsole provides stability and minimizes flexure * Flared  semi-rigid outsole provides medial/lateral stability * Breathable nylon mesh upper * Simple  one buckle closure on each strap,,1481J,,8.95,16.28,Foot Care,Surgical Shoes,0.800,10,11/22/2011,12/31/2099,6,1481a.jpg,N,Y,13,5,5,0,0,0,.8,0,,,,,,N,,https://interlink.completemedical.com/usrimage/1481a.jpg,,,,,,,,
,DCS Plantar Fasciitis Sleeve Small-Wm 4-6.5/Men 3-5.5 Black,Small * Black color * Average Shoe size  W4-6.5 / M 3-5.5 *  The DARCO DCS Plantar Fasciitis Sleeve is woven to be anatomically correct * Wave compression technology on the plantar surface of the foot provides a sustained stretch on the plantar fascia * The DCS PF gives relief from the discomfort associated with plantar fasciitis by promoting circulation  reducing edema and foot fatigue  and relieving morning foot pain * Constructed of medical grade fabric that is latex free *  Comfort Zone on the Anterior Ankle Fold to prevent pinching or binding * Low Profile Design.,,1488,,12.53,22.77,Foot Care,Heel Cushions & Pads,0.200,13,03/14/2016,12/31/2099,10,1488.jpg,N,Y,5,4,1,0,0,0,.2,.2,609271409194,none,,,,N,1488.jpg,https://interlink.completemedical.com/usrimage/1488.jpg,,,,,,,,
,DCS Plantar Fasciitis Sleeve Medium-Wm 7-10.5/Men 6-9.5 Blk,Medium * Black color * Average Shoe size W 7-10.5 / M 6-9.5 * The DARCO DCS Plantar Fasciitis Sleeve is woven to be anatomically correct * Wave compression technology on the plantar surface of the foot provides a sustained stretch on the plantar fascia * The DCS PF gives relief from the discomfort associated with plantar fasciitis by promoting circulation  reducing edema and foot fatigue  and relieving morning foot pain * Constructed of medical grade fabric that is latex free *  Comfort Zone on the Anterior Ankle Fold to prevent pinching or binding * Low Profile Design.,,1488A,,12.53,22.77,Foot Care,Heel Cushions & Pads,0.200,54,03/14/2016,12/31/2099,8,1488A.jpg,N,Y,5,4,1,0,0,0,.2,.2,609271409293,none,,,,N,1488A.jpg,https://interlink.completemedical.com/usrimage/1488A.jpg,,,,,,,,
,DCS Plantar Fasciitis Sleeve Large-Wm 11+/ Men's 10-13 Blk,Large * Black color * Average Shoe size W 11+ / M 10-13 *  The DARCO DCS Plantar Fasciitis Sleeve is woven to be anatomically correct * Wave compression technology on the plantar surface of the foot provides a sustained stretch on the plantar fascia * The DCS PF gives relief from the discomfort associated with plantar fasciitis by promoting circulation  reducing edema and foot fatigue  and relieving morning foot pain * Constructed of medical grade fabric that is latex free *  Comfort Zone on the Anterior Ankle Fold to prevent pinching or binding * Low Profile Design.,,1488B,,12.53,22.77,Foot Care,Heel Cushions & Pads,0.200,20,03/14/2016,12/31/2099,9,1488B.jpg,N,Y,5,4,1,0,0,0,.2,.2,609271409392,none,,,,N,1488B.jpg,https://interlink.completemedical.com/usrimage/1488B.jpg,,,,,,,,
,DCS Plantar Fasciitis Sleeve X-Large  Men's 13 +  Black,X-Large * Black color * Average Shoe size  M 13.5 + *  The DARCO DCS Plantar Fasciitis Sleeve is woven to be anatomically correct * Wave compression technology on the plantar surface of the foot provides a sustained stretch on the plantar fascia * The DCS PF gives relief from the discomfort associated with plantar fasciitis by promoting circulation  reducing edema and foot fatigue  and relieving morning foot pain * Constructed of medical grade fabric that is latex free *  Comfort Zone on the Anterior Ankle Fold to prevent pinching or binding * Low Profile Design.,,1488C,,12.53,22.77,Foot Care,Heel Cushions & Pads,0.200,20,03/14/2016,12/31/2099,14,1488C.jpg,N,Y,5,4,1,0,0,0,.2,.2,609271409491,none,,,,N,1488C.jpg,https://interlink.completemedical.com/usrimage/1488C.jpg,,,,,,,,
,DCS Plantar Fasciitis Sleeve Small-Wm 4-6.5/Men 3-5.5 Orig,Small * Original Blue/White color * Average Shoe size  W4-6.5 / M 3-5.5 *  The DARCO DCS Plantar Fasciitis Sleeve is woven to be anatomically correct * Wave compression technology on the plantar surface of the foot provides a sustained stretch on the plantar fascia * The DCS PF gives relief from the discomfort associated with plantar fasciitis by promoting circulation  reducing edema and foot fatigue  and relieving morning foot pain * Constructed of medical grade fabric that is latex free *  Comfort Zone on the Anterior Ankle Fold to prevent pinching or binding * Low Profile Design.,,1489,,20.03,36.40,Foot Care,Heel Cushions & Pads,0.200,71,02/20/2014,12/31/2099,8,1489.jpg,N,Y,5,4,1,0,0,0,.2,0,609271409194,none,,,,N,1489.jpg,https://interlink.completemedical.com/usrimage/1489.jpg,https://interlink.completemedical.com/usrimage/1489-5.jpg,https://interlink.completemedical.com/usrimage/1489-6.jpg,,,,,,
,DCS Plantar Fasciitis Sleeve Medium-Wm7-10.5/Men 6-9.5 Orig,Medium * * Original Blue/White color * Average Shoe size W 7-10.5 / M 6-9.5 * The DARCO DCS Plantar Fasciitis Sleeve is woven to be anatomically correct * Wave compression technology on the plantar surface of the foot provides a sustained stretch on the plantar fascia * The DCS PF gives relief from the discomfort associated with plantar fasciitis by promoting circulation  reducing edema and foot fatigue  and relieving morning foot pain * Constructed of medical grade fabric that is latex free *  Comfort Zone on the Anterior Ankle Fold to prevent pinching or binding * Low Profile Design.,,1489A,,12.53,22.77,Foot Care,Heel Cushions & Pads,0.200,16,03/19/2013,12/31/2099,7,1489A.jpg,N,Y,5,4,1,0,0,0,.2,0,609271409293,none,,,,N,1489A.jpg,https://interlink.completemedical.com/usrimage/1489A.jpg,https://interlink.completemedical.com/usrimage/1489a-4.jpg,https://interlink.completemedical.com/usrimage/1489a-2.jpg,pdf|1489.pdf,PDF|1489SIZE.PDF,,,,
,DCS Plantar Fasciitis Sleeve Large-Wm 11+/ Men 10-13  Orig,Large * Original Blue/White color * Average Shoe size W 11+ / M 10-13 *  The DARCO DCS Plantar Fasciitis Sleeve is woven to be anatomically correct * Wave compression technology on the plantar surface of the foot provides a sustained stretch on the plantar fascia * The DCS PF gives relief from the discomfort associated with plantar fasciitis by promoting circulation  reducing edema and foot fatigue  and relieving morning foot pain * Constructed of medical grade fabric that is latex free *  Comfort Zone on the Anterior Ankle Fold to prevent pinching or binding * Low Profile Design.,,1489B,,12.53,22.77,Foot Care,Heel Cushions & Pads,0.200,39,03/19/2013,12/31/2099,10,1489B.jpg,N,Y,5,4,1,0,0,0,.2,0,609271409392,none,,,,N,1489A.jpg,https://interlink.completemedical.com/usrimage/1489B.jpg,https://interlink.completemedical.com/usrimage/1489a-4.jpg,https://interlink.completemedical.com/usrimage/1489a-2.jpg,pdf|1489.pdf,pdf|1489size.pdf,,,,
,DCS Plantar Fasciitis Slv Bx/6 Women's 11+ / Men's 10-13,6-Piece Display * L/XL Arch Circumference 10-13 in / 25-33 cm * Average Shoe size        W 11+ / M 10-14 * T The DARCO DCS Plantar Fasciitis Sleeve is woven to be anatomically correct * Wave compression technology on the plantar surface of the foot provides a sustained stretch on the plantar fascia * The DCS PF gives relief from the discomfort associated with plantar fasciitis by promoting circulation  reducing edema and foot fatigue  and relieving morning foot pain * Constructed of medical grade fabric that is latex free *  Comfort Zone on the Anterior Ankle Fold to prevent pinching or binding * Low Profile Design.,,1489BD,,105.25,191.35,Foot Care,Heel Cushions & Pads,0.000,6,03/19/2013,12/31/2099,7,,N,Y,0,0,0,0,0,0,0,0,,,,,,N,,,,,,,,,,
,DCS Plantar Fasciitis Sleeve X-Large  Men's 13 +  Original,X-Large * Original Blue/White color * Average Shoe size  M 13.5 + *  The DARCO DCS Plantar Fasciitis Sleeve is woven to be anatomically correct * Wave compression technology on the plantar surface of the foot provides a sustained stretch on the plantar fascia * The DCS PF gives relief from the discomfort associated with plantar fasciitis by promoting circulation  reducing edema and foot fatigue  and relieving morning foot pain * Constructed of medical grade fabric that is latex free *  Comfort Zone on the Anterior Ankle Fold to prevent pinching or binding * Low Profile Design.,,1489C,,12.53,22.77,Foot Care,Heel Cushions & Pads,0.200,29,02/20/2014,12/31/2099,9,1489C.jpg,N,Y,5,4,1,0,0,0,.2,0,609271409491,none,,,,N,1489a.jpg,https://interlink.completemedical.com/usrimage/1489C.jpg,https://interlink.completemedical.com/usrimage/1489a-4.jpg,https://interlink.completemedical.com/usrimage/1489a-2.jpg,pdf|1489.pdf,pdf|1489size.pdf,,,,
